student_id,term_id,total_charges,total_payments,balance
10000000,2025FA,5449,4292,1157
10000000,2025SP,7544,4794,2750
10000001,2025FA,5297,377,4920
10000002,2025FA,4885,1494,3391
10000002,2025SP,3607,771,2836
10000003,2025FA,5726,229,5497
10000003,2025SP,3432,5519,-2087
10000004,2025FA,6905,5506,1399
10000004,2025SP,6608,2486,4122
10000005,2025FA,8636,5884,2752
10000006,2025FA,4517,3053,1464
10000007,2025FA,4793,3282,1511
10000008,2025FA,4493,1596,2897
10000008,2025SP,4485,2372,2113
10000009,2025FA,9399,6039,3360
10000009,2025SP,3394,3818,-424
10000010,2025FA,6082,2611,3471
10000010,2025SP,3827,4444,-617
10000011,2025FA,5842,2288,3554
10000011,2025SP,5275,2424,2851
10000012,2025FA,6300,4785,1515
10000012,2025SP,5003,2546,2457
10000013,2025FA,4697,6099,-1402
10000014,2025FA,6619,4163,2456
10000015,2025FA,8770,1472,7298
10000016,2025FA,6436,5106,1330
10000016,2025SP,4171,3391,780
10000017,2025FA,8707,1922,6785
10000017,2025SP,3754,6517,-2763
10000018,2025FA,4798,243,4555
10000019,2025FA,11233,5430,5803
10000019,2025SP,4793,3498,1295
10000020,2025FA,5560,1360,4200
10000020,2025SP,8170,5421,2749
10000021,2025FA,11221,281,10940
10000022,2025FA,5916,1009,4907
10000022,2025SP,4779,2289,2490
10000023,2025FA,4675,1566,3109
10000023,2025SP,3627,3688,-61
10000024,2025FA,4325,2748,1577
10000025,2025FA,4391,2128,2263
10000026,2025FA,8186,6293,1893
10000027,2025FA,8182,2342,5840
10000027,2025SP,8037,3717,4320
10000028,2025FA,6265,2605,3660
10000028,2025SP,3841,2090,1751
10000029,2025FA,6550,2747,3803
10000030,2025FA,8642,3913,4729
10000031,2025FA,5020,1958,3062
10000032,2025FA,8185,6233,1952
10000033,2025FA,10140,3862,6278
10000034,2025FA,8671,4552,4119
10000035,2025FA,4881,3563,1318
10000036,2025FA,5283,5422,-139
10000036,2025SP,3694,3480,214
10000037,2025FA,8092,4445,3647
10000037,2025SP,8762,1831,6931
10000038,2025FA,6584,2442,4142
10000039,2025FA,6068,3907,2161
10000040,2025FA,4662,2521,2141
10000041,2025FA,4764,3141,1623
10000042,2025FA,6553,2534,4019
10000043,2025FA,4836,5246,-410
10000043,2025SP,4045,1401,2644
10000044,2025FA,4589,1815,2774
10000045,2025FA,9247,3811,5436
10000045,2025SP,9228,667,8561
10000046,2025FA,8590,4140,4450
10000047,2025FA,5639,1679,3960
10000048,2025FA,4779,4210,569
10000049,2025FA,8187,4704,3483
10000049,2025SP,4689,4043,646
10000050,2025FA,5722,2506,3216
10000051,2025FA,4905,2001,2904
10000051,2025SP,5240,5544,-304
10000052,2025FA,5932,703,5229
10000053,2025FA,5072,3252,1820
10000053,2025SP,4720,3773,947
10000054,2025FA,5523,5762,-239
10000055,2025FA,5021,3928,1093
10000055,2025SP,3830,3492,338
10000056,2025FA,4354,2682,1672
10000057,2025FA,5547,2488,3059
10000058,2025FA,8010,5922,2088
10000059,2025FA,6625,2522,4103
10000059,2025SP,8165,1743,6422
10000060,2025FA,4853,4413,440
10000060,2025SP,9268,2636,6632
10000061,2025FA,4869,4652,217
10000061,2025SP,4384,6350,-1966
10000062,2025FA,8780,2819,5961
10000063,2025FA,10507,759,9748
10000063,2025SP,8744,3678,5066
10000064,2025FA,5282,2484,2798
10000065,2025FA,10520,3680,6840
10000065,2025SP,8184,4688,3496
10000066,2025FA,4688,2093,2595
10000067,2025FA,4397,3245,1152
10000067,2025SP,7434,3977,3457
10000068,2025FA,5134,2443,2691
10000069,2025FA,4782,3809,973
10000070,2025FA,4594,722,3872
10000070,2025SP,3843,1014,2829
10000071,2025FA,5994,4130,1864
10000072,2025FA,6766,3129,3637
10000072,2025SP,3686,4668,-982
10000073,2025FA,4311,2097,2214
10000073,2025SP,5157,5096,61
10000074,2025FA,9276,4467,4809
10000075,2025FA,8573,4182,4391
10000076,2025FA,4913,1164,3749
10000077,2025FA,10792,2331,8461
10000077,2025SP,8679,3558,5121
10000078,2025FA,12029,1742,10287
10000078,2025SP,8822,2733,6089
10000079,2025FA,7981,5262,2719
10000080,2025FA,4712,3666,1046
10000081,2025FA,8817,3177,5640
10000082,2025FA,11399,4124,7275
10000082,2025SP,6081,3541,2540
10000083,2025FA,9420,1639,7781
10000083,2025SP,4033,2335,1698
10000084,2025FA,8728,5870,2858
10000084,2025SP,5018,1940,3078
10000085,2025FA,12053,4337,7716
10000085,2025SP,3873,3442,431
10000086,2025FA,5075,509,4566
10000087,2025FA,5519,3354,2165
10000087,2025SP,4691,2724,1967
10000088,2025FA,6460,623,5837
10000089,2025FA,4566,3421,1145
10000089,2025SP,4673,4804,-131
10000090,2025FA,8721,6296,2425
10000091,2025FA,9318,3355,5963
10000091,2025SP,3324,3477,-153
10000092,2025FA,4940,1480,3460
10000093,2025FA,8193,3211,4982
10000094,2025FA,8060,3606,4454
10000095,2025FA,10566,6620,3946
10000096,2025FA,11860,2893,8967
10000096,2025SP,4698,5091,-393
10000097,2025FA,5062,1927,3135
10000098,2025FA,4520,4350,170
10000098,2025SP,4418,2925,1493
10000099,2025FA,9491,1804,7687
10000100,2025FA,8622,6763,1859
10000101,2025FA,5987,833,5154
10000101,2025SP,3803,6061,-2258
10000102,2025FA,4679,1645,3034
10000102,2025SP,6188,1071,5117
10000103,2025FA,5195,225,4970
10000104,2025FA,4761,5134,-373
10000104,2025SP,3758,1133,2625
10000105,2025FA,4695,6955,-2260
10000105,2025SP,3751,1041,2710
10000106,2025FA,6340,2906,3434
10000107,2025FA,5007,3156,1851
10000107,2025SP,8657,2833,5824
10000108,2025FA,4914,6651,-1737
10000108,2025SP,4300,564,3736
10000109,2025FA,5105,8259,-3154
10000110,2025FA,5172,5686,-514
10000111,2025FA,6072,4936,1136
10000112,2025FA,4881,1630,3251
10000112,2025SP,4516,1898,2618
10000113,2025FA,8188,3870,4318
10000114,2025FA,5647,2644,3003
10000114,2025SP,5157,2489,2668
10000115,2025FA,6289,6136,153
10000116,2025FA,4421,2300,2121
10000117,2025FA,7004,2948,4056
10000117,2025SP,6784,3434,3350
10000118,2025FA,4786,439,4347
10000118,2025SP,4400,1892,2508
10000119,2025FA,8825,1847,6978
10000120,2025FA,5841,4760,1081
10000120,2025SP,4415,4435,-20
10000121,2025FA,4913,5115,-202
10000122,2025FA,8726,4381,4345
10000122,2025SP,5086,5943,-857
10000123,2025FA,4692,670,4022
10000123,2025SP,3837,5970,-2133
10000124,2025FA,5095,1663,3432
10000125,2025FA,10718,551,10167
10000126,2025FA,5796,6055,-259
10000126,2025SP,3896,2047,1849
10000127,2025FA,4859,3797,1062
10000128,2025FA,5123,4862,261
10000128,2025SP,5594,5126,468
10000129,2025FA,9292,4462,4830
10000130,2025FA,9431,2165,7266
10000130,2025SP,6015,3583,2432
10000131,2025FA,7940,4855,3085
10000131,2025SP,4900,5457,-557
10000132,2025FA,10709,4350,6359
10000132,2025SP,6884,3080,3804
10000133,2025FA,5985,3152,2833
10000134,2025FA,4331,2570,1761
10000134,2025SP,6243,3112,3131
10000135,2025FA,4866,5009,-143
10000135,2025SP,7927,4057,3870
10000136,2025FA,10604,1417,9187
10000136,2025SP,9259,1618,7641
10000137,2025FA,7974,3807,4167
10000138,2025FA,8829,1671,7158
10000139,2025FA,4693,6568,-1875
10000139,2025SP,4795,3571,1224
10000140,2025FA,5938,6058,-120
10000140,2025SP,4384,2411,1973
10000141,2025FA,12069,879,11190
10000142,2025FA,10676,2988,7688
10000143,2025FA,5715,1091,4624
10000143,2025SP,3338,2694,644
10000144,2025FA,11153,3988,7165
10000145,2025FA,5807,4523,1284
10000146,2025FA,4857,2117,2740
10000147,2025FA,4499,3216,1283
10000147,2025SP,8010,6986,1024
10000148,2025FA,4734,4037,697
10000148,2025SP,4911,539,4372
10000149,2025FA,5421,2147,3274
10000149,2025SP,3805,3852,-47
10000150,2025FA,8736,5373,3363
10000151,2025FA,6520,506,6014
10000152,2025FA,4728,6381,-1653
10000152,2025SP,8709,3550,5159
10000153,2025FA,5921,5959,-38
10000154,2025FA,5148,4165,983
10000154,2025SP,6174,3417,2757
10000155,2025FA,4766,1841,2925
10000156,2025FA,9408,1110,8298
10000157,2025FA,4303,1494,2809
10000157,2025SP,7972,4377,3595
10000158,2025FA,10711,2824,7887
10000158,2025SP,4848,1704,3144
10000159,2025FA,10695,3905,6790
10000159,2025SP,7948,3114,4834
10000160,2025FA,4531,4962,-431
10000160,2025SP,8721,5508,3213
10000161,2025FA,5754,2075,3679
10000162,2025FA,4588,3243,1345
10000162,2025SP,6052,649,5403
10000163,2025FA,4810,4033,777
10000164,2025FA,5871,466,5405
10000164,2025SP,6187,4202,1985
10000165,2025FA,8670,4655,4015
10000166,2025FA,4476,2424,2052
10000167,2025FA,9384,1749,7635
10000168,2025FA,6247,4207,2040
10000168,2025SP,8196,546,7650
10000169,2025FA,4747,4645,102
10000170,2025FA,4867,3359,1508
10000171,2025FA,9266,3622,5644
10000171,2025SP,6655,5716,939
10000172,2025FA,6216,1904,4312
10000173,2025FA,5919,4348,1571
10000174,2025FA,4420,2803,1617
10000175,2025FA,5158,1192,3966
10000176,2025FA,8560,6224,2336
10000176,2025SP,4106,2577,1529
10000177,2025FA,4895,1110,3785
10000178,2025FA,5867,1804,4063
10000179,2025FA,6526,1708,4818
10000180,2025FA,4909,4398,511
10000180,2025SP,6016,1158,4858
10000181,2025FA,4536,2851,1685
10000181,2025SP,3356,1798,1558
10000182,2025FA,6291,3407,2884
10000183,2025FA,8613,4291,4322
10000183,2025SP,3298,2634,664
10000184,2025FA,10691,5155,5536
10000185,2025FA,4523,6393,-1870
10000186,2025FA,8667,6749,1918
10000187,2025FA,9395,723,8672
10000188,2025FA,10721,3630,7091
10000189,2025FA,5063,6477,-1414
10000190,2025FA,8158,3780,4378
10000191,2025FA,5171,4196,975
10000192,2025FA,6118,5256,862
10000193,2025FA,5225,2186,3039
10000193,2025SP,5171,1561,3610
10000194,2025FA,9985,6484,3501
10000194,2025SP,7496,4550,2946
10000195,2025FA,5266,2761,2505
10000196,2025FA,4937,2466,2471
10000196,2025SP,4336,4854,-518
10000197,2025FA,8774,1877,6897
10000198,2025FA,4667,4209,458
10000199,2025FA,5929,3849,2080
10000200,2025FA,5827,571,5256
10000201,2025FA,5759,3168,2591
10000202,2025FA,6210,2888,3322
10000203,2025FA,4739,1741,2998
10000204,2025FA,5125,3260,1865
10000205,2025FA,5719,4000,1719
10000206,2025FA,8179,4549,3630
10000207,2025FA,5017,5135,-118
10000208,2025FA,6066,5683,383
10000209,2025FA,5459,4108,1351
10000210,2025FA,4505,4218,287
10000211,2025FA,9207,5738,3469
10000211,2025SP,5636,5189,447
10000212,2025FA,4727,4064,663
10000213,2025FA,4336,3322,1014
10000213,2025SP,4938,1379,3559
10000214,2025FA,8165,4210,3955
10000214,2025SP,5297,839,4458
10000215,2025FA,11260,5001,6259
10000216,2025FA,9900,1842,8058
10000217,2025FA,6256,3164,3092
10000218,2025FA,4946,3303,1643
10000218,2025SP,5086,761,4325
10000219,2025FA,5563,3714,1849
10000220,2025FA,8072,3865,4207
10000221,2025FA,8719,2408,6311
10000221,2025SP,3746,3098,648
10000222,2025FA,5623,4853,770
10000223,2025FA,4462,807,3655
10000223,2025SP,9340,3948,5392
10000224,2025FA,5255,2582,2673
10000224,2025SP,5040,3697,1343
10000225,2025FA,4495,4135,360
10000226,2025FA,11433,1853,9580
10000227,2025FA,6195,1689,4506
10000227,2025SP,4067,256,3811
10000228,2025FA,8740,2054,6686
10000229,2025FA,5060,3284,1776
10000230,2025FA,6627,2390,4237
10000230,2025SP,3318,5026,-1708
10000231,2025FA,5157,3892,1265
10000231,2025SP,5215,2805,2410
10000232,2025FA,5944,5223,721
10000233,2025FA,5124,2045,3079
10000234,2025FA,6655,4415,2240
10000235,2025FA,4487,1257,3230
10000235,2025SP,6788,5873,915
10000236,2025FA,4723,6020,-1297
10000236,2025SP,4778,3271,1507
10000237,2025FA,4851,1234,3617
10000238,2025FA,4941,882,4059
10000238,2025SP,3665,3037,628
10000239,2025FA,10558,2450,8108
10000240,2025FA,4845,4308,537
10000241,2025FA,9437,2467,6970
10000242,2025FA,5478,3842,1636
10000243,2025FA,5492,3047,2445
10000244,2025FA,4855,4474,381
10000245,2025FA,6094,870,5224
10000246,2025FA,10075,4063,6012
10000246,2025SP,5016,2296,2720
10000247,2025FA,11217,433,10784
10000248,2025FA,5522,1446,4076
10000249,2025FA,7928,3400,4528
10000249,2025SP,3453,3254,199
10000250,2025FA,5154,2786,2368
10000251,2025FA,5579,3076,2503
10000252,2025FA,4885,1435,3450
10000252,2025SP,6797,679,6118
10000253,2025FA,6150,2763,3387
10000254,2025FA,10538,299,10239
10000255,2025FA,4451,2483,1968
10000256,2025FA,7942,1116,6826
10000257,2025FA,5461,6562,-1101
10000258,2025FA,4480,1218,3262
10000259,2025FA,8160,2363,5797
10000260,2025FA,5478,6313,-835
10000261,2025FA,6435,1963,4472
10000261,2025SP,4762,4753,9
10000262,2025FA,8107,3409,4698
10000262,2025SP,4058,3356,702
10000263,2025FA,6115,3099,3016
10000263,2025SP,3893,830,3063
10000264,2025FA,4883,4662,221
10000265,2025FA,4783,3793,990
10000265,2025SP,4335,1769,2566
10000266,2025FA,4554,1015,3539
10000266,2025SP,4393,1929,2464
10000267,2025FA,4910,2711,2199
10000267,2025SP,4734,1082,3652
10000268,2025FA,5841,3614,2227
10000269,2025FA,9453,4244,5209
10000270,2025FA,9351,1609,7742
10000271,2025FA,12064,4148,7916
10000271,2025SP,9495,3454,6041
10000272,2025FA,4793,3677,1116
10000273,2025FA,4761,3372,1389
10000273,2025SP,7443,5438,2005
10000274,2025FA,5722,238,5484
10000275,2025FA,10666,1861,8805
10000275,2025SP,4345,3474,871
10000276,2025FA,6109,6069,40
10000277,2025FA,6221,4136,2085
10000278,2025FA,4812,2424,2388
10000278,2025SP,7544,3080,4464
10000279,2025FA,9309,1951,7358
10000279,2025SP,4778,2355,2423
10000280,2025FA,9268,2464,6804
10000281,2025FA,6328,1603,4725
10000282,2025FA,4367,1586,2781
10000283,2025FA,9363,4509,4854
10000284,2025FA,9328,5008,4320
10000285,2025FA,9324,1663,7661
10000285,2025SP,9290,4216,5074
10000286,2025FA,4909,3266,1643
10000287,2025FA,5614,5045,569
10000287,2025SP,7515,4074,3441
10000288,2025FA,6276,3715,2561
10000288,2025SP,3483,1905,1578
10000289,2025FA,11220,4299,6921
10000290,2025FA,8814,6081,2733
10000291,2025FA,5404,1790,3614
10000292,2025FA,5428,4971,457
10000293,2025FA,5386,1704,3682
10000293,2025SP,3643,3677,-34
10000294,2025FA,5394,641,4753
10000294,2025SP,3519,4172,-653
10000295,2025FA,8756,1257,7499
10000296,2025FA,6551,4240,2311
10000296,2025SP,4358,5012,-654
10000297,2025FA,5282,3526,1756
10000298,2025FA,5443,1431,4012
10000299,2025FA,6686,3130,3556
10000300,2025FA,5708,3264,2444
10000301,2025FA,4842,2791,2051
10000302,2025FA,8815,3205,5610
10000303,2025FA,10030,3561,6469
10000304,2025FA,9871,3939,5932
10000305,2025FA,4347,1443,2904
10000306,2025FA,5459,1790,3669
10000307,2025FA,6113,3357,2756
10000308,2025FA,8775,2313,6462
10000309,2025FA,5540,1873,3667
10000309,2025SP,5559,7417,-1858
10000310,2025FA,4486,6175,-1689
10000311,2025FA,5242,4311,931
10000312,2025FA,4417,5963,-1546
10000312,2025SP,7914,3638,4276
10000313,2025FA,6611,4999,1612
10000314,2025FA,10548,1373,9175
10000315,2025FA,4831,2607,2224
10000316,2025FA,9252,4423,4829
10000317,2025FA,5136,1822,3314
10000318,2025FA,10502,3135,7367
10000318,2025SP,6816,5909,907
10000319,2025FA,7907,3706,4201
10000320,2025FA,6110,892,5218
10000320,2025SP,3403,2749,654
10000321,2025FA,9369,824,8545
10000322,2025FA,6134,3392,2742
10000323,2025FA,4933,2340,2593
10000323,2025SP,4873,4132,741
10000324,2025FA,5544,3011,2533
10000324,2025SP,7296,4488,2808
10000325,2025FA,10684,3480,7204
10000326,2025FA,8766,5494,3272
10000326,2025SP,4664,4907,-243
10000327,2025FA,6313,3152,3161
10000327,2025SP,4353,2330,2023
10000328,2025FA,8047,6516,1531
10000328,2025SP,8647,2117,6530
10000329,2025FA,4857,2609,2248
10000329,2025SP,3747,5208,-1461
10000330,2025FA,4526,1565,2961
10000331,2025FA,8722,4656,4066
10000331,2025SP,4786,3781,1005
10000332,2025FA,5246,2737,2509
10000333,2025FA,5515,7049,-1534
10000334,2025FA,4883,3952,931
10000334,2025SP,4402,2494,1908
10000335,2025FA,4685,2280,2405
10000335,2025SP,4350,1522,2828
10000336,2025FA,7287,2205,5082
10000337,2025FA,9299,3141,6158
10000338,2025FA,5089,6870,-1781
10000338,2025SP,4095,1357,2738
10000339,2025FA,4674,3185,1489
10000340,2025FA,4419,4422,-3
10000340,2025SP,3989,1431,2558
10000341,2025FA,4701,4387,314
10000342,2025FA,4924,2140,2784
10000342,2025SP,4662,2203,2459
10000343,2025FA,4781,2877,1904
10000344,2025FA,6184,1077,5107
10000345,2025FA,11275,3129,8146
10000345,2025SP,3724,6257,-2533
10000346,2025FA,8550,625,7925
10000346,2025SP,4365,2436,1929
10000347,2025FA,5003,3069,1934
10000347,2025SP,4349,5248,-899
10000348,2025FA,5227,2624,2603
10000349,2025FA,9461,4856,4605
10000350,2025FA,6545,3550,2995
10000350,2025SP,4703,1533,3170
10000351,2025FA,4906,4735,171
10000352,2025FA,9983,4359,5624
10000353,2025FA,5268,397,4871
10000353,2025SP,8099,5156,2943
10000354,2025FA,5479,4947,532
10000355,2025FA,10507,2375,8132
10000356,2025FA,9303,5388,3915
10000357,2025FA,10764,619,10145
10000357,2025SP,3643,2942,701
10000358,2025FA,9254,417,8837
10000359,2025FA,7957,4857,3100
10000360,2025FA,4546,1942,2604
10000361,2025FA,6203,3514,2689
10000361,2025SP,3307,2003,1304
10000362,2025FA,5415,3349,2066
10000363,2025FA,4881,4520,361
10000363,2025SP,6799,3921,2878
10000364,2025FA,10614,1196,9418
10000365,2025FA,4857,4984,-127
10000365,2025SP,7495,1270,6225
10000366,2025FA,8593,2182,6411
10000367,2025FA,5786,4498,1288
10000368,2025FA,9476,3715,5761
10000368,2025SP,8802,2034,6768
10000369,2025FA,8159,4671,3488
10000370,2025FA,5252,2401,2851
10000370,2025SP,8665,3463,5202
10000371,2025FA,4925,827,4098
10000372,2025FA,4457,5757,-1300
10000373,2025FA,5054,6964,-1910
10000374,2025FA,4544,3858,686
10000375,2025FA,4661,5210,-549
10000375,2025SP,3857,3214,643
10000376,2025FA,4327,2938,1389
10000377,2025FA,4449,1388,3061
10000378,2025FA,4843,5785,-942
10000378,2025SP,4915,1552,3363
10000379,2025FA,5062,3837,1225
10000380,2025FA,5555,3957,1598
10000380,2025SP,3536,5385,-1849
10000381,2025FA,4847,3998,849
10000382,2025FA,5195,3392,1803
10000382,2025SP,4796,929,3867
10000383,2025FA,4473,5880,-1407
10000384,2025FA,5602,4411,1191
10000384,2025SP,6011,3358,2653
10000385,2025FA,5378,2879,2499
10000386,2025FA,4751,3099,1652
10000387,2025FA,9432,1518,7914
10000387,2025SP,6873,585,6288
10000388,2025FA,4810,3010,1800
10000389,2025FA,8780,5117,3663
10000390,2025FA,5370,2743,2627
10000390,2025SP,8812,3054,5758
10000391,2025FA,9265,2444,6821
10000392,2025FA,11407,3618,7789
10000393,2025FA,5215,1223,3992
10000394,2025FA,5648,6652,-1004
10000394,2025SP,4109,1612,2497
10000395,2025FA,5000,2879,2121
10000396,2025FA,5818,4505,1313
10000397,2025FA,8790,780,8010
10000398,2025FA,5858,374,5484
10000399,2025FA,6208,1709,4499
10000400,2025FA,4556,318,4238
10000400,2025SP,4387,3705,682
10000401,2025FA,8821,901,7920
10000402,2025FA,9431,4362,5069
10000403,2025FA,5993,6199,-206
10000404,2025FA,6306,6287,19
10000404,2025SP,4065,7473,-3408
10000405,2025FA,6154,4140,2014
10000406,2025FA,4874,2099,2775
10000406,2025SP,6618,3613,3005
10000407,2025FA,6306,1789,4517
10000408,2025FA,4735,1760,2975
10000409,2025FA,5127,1707,3420
10000409,2025SP,4362,4038,324
10000410,2025FA,5224,6234,-1010
10000411,2025FA,4654,4514,140
10000411,2025SP,4896,449,4447
10000412,2025FA,4424,5509,-1085
10000413,2025FA,8701,623,8078
10000413,2025SP,5053,4849,204
10000414,2025FA,5772,2865,2907
10000415,2025FA,12539,4743,7796
10000416,2025FA,4412,258,4154
10000416,2025SP,3356,4418,-1062
10000417,2025FA,5757,1474,4283
10000418,2025FA,6065,4736,1329
10000419,2025FA,4332,2581,1751
10000419,2025SP,5058,7191,-2133
10000420,2025FA,4705,2530,2175
10000421,2025FA,9370,2533,6837
10000421,2025SP,4533,3764,769
10000422,2025FA,4766,1773,2993
10000422,2025SP,4882,6075,-1193
10000423,2025FA,4830,4599,231
10000424,2025FA,4356,5729,-1373
10000424,2025SP,5257,1231,4026
10000425,2025FA,5595,1643,3952
10000426,2025FA,8615,2069,6546
10000426,2025SP,6688,4068,2620
10000427,2025FA,5478,4492,986
10000427,2025SP,4403,4837,-434
10000428,2025FA,4742,7467,-2725
10000429,2025FA,5869,6539,-670
10000430,2025FA,4454,5172,-718
10000431,2025FA,8617,2681,5936
10000432,2025FA,5042,2190,2852
10000433,2025FA,4680,2289,2391
10000434,2025FA,6072,702,5370
10000435,2025FA,5777,6414,-637
10000435,2025SP,3734,1921,1813
10000436,2025FA,5252,1204,4048
10000436,2025SP,8817,3884,4933
10000437,2025FA,5128,6782,-1654
10000438,2025FA,8135,4814,3321
10000438,2025SP,6619,3368,3251
10000439,2025FA,11449,3688,7761
10000440,2025FA,5083,3520,1563
10000441,2025FA,11970,3931,8039
10000442,2025FA,4319,2129,2190
10000443,2025FA,9397,1908,7489
10000443,2025SP,4316,4034,282
10000444,2025FA,10043,2474,7569
10000444,2025SP,4445,966,3479
10000445,2025FA,5263,5978,-715
10000445,2025SP,8566,3111,5455
10000446,2025FA,4857,1990,2867
10000447,2025FA,6112,1664,4448
10000448,2025FA,4657,3555,1102
10000448,2025SP,7953,3583,4370
10000449,2025FA,4426,4313,113
10000449,2025SP,4920,1667,3253
10000450,2025FA,4856,3096,1760
10000451,2025FA,4468,2248,2220
10000452,2025FA,6229,929,5300
10000452,2025SP,3849,4733,-884
10000453,2025FA,5050,876,4174
10000453,2025SP,3618,3108,510
10000454,2025FA,9311,407,8904
10000454,2025SP,4526,3972,554
10000455,2025FA,5133,4838,295
10000455,2025SP,3334,2654,680
10000456,2025FA,8183,2308,5875
10000457,2025FA,6087,832,5255
10000457,2025SP,3736,6994,-3258
10000458,2025FA,8074,1408,6666
10000459,2025FA,4922,3817,1105
10000460,2025FA,4897,1538,3359
10000461,2025FA,5543,5083,460
10000462,2025FA,4779,1537,3242
10000463,2025FA,4392,3048,1344
10000464,2025FA,10735,3450,7285
10000464,2025SP,4824,3179,1645
10000465,2025FA,9255,3748,5507
10000466,2025FA,4390,2975,1415
10000466,2025SP,3430,4580,-1150
10000467,2025FA,5375,2540,2835
10000467,2025SP,4924,1809,3115
10000468,2025FA,6280,1023,5257
10000469,2025FA,4926,2479,2447
10000470,2025FA,6277,927,5350
10000471,2025FA,5069,2544,2525
10000471,2025SP,8789,1459,7330
10000472,2025FA,10585,2933,7652
10000473,2025FA,8690,6319,2371
10000474,2025FA,5274,3941,1333
10000474,2025SP,4845,1659,3186
10000475,2025FA,5757,3725,2032
10000475,2025SP,4843,4424,419
10000476,2025FA,4472,2153,2319
10000476,2025SP,3539,7294,-3755
10000477,2025FA,9248,1740,7508
10000478,2025FA,12093,5270,6823
10000478,2025SP,3720,2232,1488
10000479,2025FA,10043,2707,7336
10000480,2025FA,11317,890,10427
10000480,2025SP,3967,4507,-540
10000481,2025FA,4511,4545,-34
10000481,2025SP,9337,5895,3442
10000482,2025FA,11438,5412,6026
10000483,2025FA,4927,2862,2065
10000484,2025FA,4695,2345,2350
10000485,2025FA,4507,3393,1114
10000486,2025FA,4860,4336,524
10000486,2025SP,9292,5266,4026
10000487,2025FA,4312,3832,480
10000488,2025FA,5616,1581,4035
10000488,2025SP,9965,2144,7821
10000489,2025FA,4832,2860,1972
10000489,2025SP,7977,2533,5444
10000490,2025FA,11418,2269,9149
10000491,2025FA,11223,4839,6384
10000491,2025SP,4370,1431,2939
10000492,2025FA,6160,3561,2599
10000493,2025FA,4870,2164,2706
10000493,2025SP,8699,2723,5976
10000494,2025FA,4467,1430,3037
10000495,2025FA,5996,2391,3605
10000496,2025FA,8124,1487,6637
10000496,2025SP,6880,1964,4916
10000497,2025FA,4435,6975,-2540
10000498,2025FA,11290,2485,8805
10000498,2025SP,4311,3811,500
10000499,2025FA,7907,974,6933
10000499,2025SP,7285,1717,5568
10000500,2025FA,6149,2891,3258
10000501,2025FA,8005,3171,4834
10000502,2025FA,11288,3253,8035
10000502,2025SP,3670,3606,64
10000503,2025FA,4894,1479,3415
10000503,2025SP,4721,2838,1883
10000504,2025FA,4717,4550,167
10000505,2025FA,9226,2679,6547
10000506,2025FA,4524,3114,1410
10000506,2025SP,6864,3527,3337
10000507,2025FA,9323,3044,6279
10000508,2025FA,4748,1942,2806
10000508,2025SP,6802,4599,2203
10000509,2025FA,4510,6234,-1724
10000510,2025FA,8744,1120,7624
10000510,2025SP,4120,5207,-1087
10000511,2025FA,4870,2933,1937
10000511,2025SP,5253,3011,2242
10000512,2025FA,5190,4161,1029
10000513,2025FA,5943,5642,301
10000513,2025SP,3661,2300,1361
10000514,2025FA,6178,3338,2840
10000514,2025SP,4168,2669,1499
10000515,2025FA,9929,2658,7271
10000515,2025SP,4945,3764,1181
10000516,2025FA,8073,3369,4704
10000517,2025FA,6201,3765,2436
10000518,2025FA,11414,3411,8003
10000519,2025FA,8061,3568,4493
10000519,2025SP,3848,4740,-892
