course_section_id,lms_course_id
BIO256-2024FA-S01,LMS-2087021
BIO256-2024FA-S02,LMS-9636443
BIO256-2024FA-S03,LMS-4495547
BIO447-2024FA-S01,LMS-2048599
ENG226-2024FA-S01,LMS-4104976
ENG226-2024FA-S02,LMS-7372347
SOC495-2024FA-S01,LMS-8934730
SOC495-2024FA-S02,LMS-7074204
CS377-2024FA-S01,LMS-8428674
PSYC240-2024FA-S01,LMS-5279429
CHEM286-2024FA-S01,LMS-1545504
HIST329-2024FA-S01,LMS-6015432
ECON312-2024FA-S01,LMS-5470369
ECON312-2024FA-S02,LMS-7861682
ART372-2024FA-S01,LMS-7868856
HIST269-2024FA-S01,LMS-7226498
HIST269-2024FA-S02,LMS-0145666
STAT339-2024FA-S01,LMS-2924326
STAT339-2024FA-S02,LMS-9600215
ECON392-2024FA-S01,LMS-8928913
CS291-2024FA-S01,LMS-0635284
BIO160-2024FA-S01,LMS-0123409
PHIL188-2024FA-S01,LMS-9269600
ENG432-2024FA-S01,LMS-5146675
ENG432-2024FA-S02,LMS-0487283
SOC239-2024FA-S01,LMS-7954524
SOC239-2024FA-S02,LMS-7691033
BUS392-2024FA-S01,LMS-0936167
BUS392-2024FA-S02,LMS-5105112
SOC488-2024FA-S01,LMS-4997826
BIO477-2024FA-S01,LMS-4971741
BIO477-2024FA-S02,LMS-4946195
CS451-2024FA-S01,LMS-0198100
ART152-2024FA-S01,LMS-8412300
PHIL376-2024FA-S01,LMS-0732306
ART188-2024FA-S01,LMS-1720776
CS241-2024FA-S01,LMS-1043993
ART164-2024FA-S01,LMS-1633179
MATH265-2024FA-S01,LMS-8463201
MATH265-2024FA-S02,LMS-7153862
MATH265-2024FA-S03,LMS-4496147
CS441-2024FA-S01,LMS-8301551
CS441-2024FA-S02,LMS-3125133
PSYC474-2024FA-S01,LMS-7351988
ECON297-2024FA-S01,LMS-3348828
ECON297-2024FA-S02,LMS-3913422
ECON297-2024FA-S03,LMS-9953946
ECON398-2024FA-S01,LMS-9682284
MATH422-2024FA-S01,LMS-3024819
BIO192-2024FA-S01,LMS-8524140
PHYS419-2024FA-S01,LMS-0257764
ECON250-2024FA-S01,LMS-5808506
PHIL104-2024FA-S01,LMS-9977623
PHIL104-2024FA-S02,LMS-6989652
PHIL104-2024FA-S03,LMS-2962457
ART348-2024FA-S01,LMS-8290014
STAT297-2024FA-S01,LMS-9059251
STAT297-2024FA-S02,LMS-8254847
STAT297-2024FA-S03,LMS-2389576
CHEM181-2024FA-S01,LMS-8289148
CHEM181-2024FA-S02,LMS-2471869
CHEM181-2024FA-S03,LMS-5618527
PSYC108-2024FA-S01,LMS-5949022
PSYC108-2024FA-S02,LMS-3950685
MATH132-2024FA-S01,LMS-4312127
MATH132-2024FA-S02,LMS-9639136
MATH132-2024FA-S03,LMS-1426116
SOC312-2024FA-S01,LMS-5752420
SOC312-2024FA-S02,LMS-0161143
HIST492-2024FA-S01,LMS-6176796
HIST492-2024FA-S02,LMS-1338790
ECON145-2024FA-S01,LMS-7588638
CS228-2024FA-S01,LMS-0640896
MATH197-2024FA-S01,LMS-9071299
BUS301-2024FA-S01,LMS-7190702
CHEM360-2024FA-S01,LMS-7764413
CHEM360-2024FA-S02,LMS-9403343
PSYC116-2024FA-S01,LMS-3048255
PSYC116-2024FA-S02,LMS-7197650
PSYC116-2024FA-S03,LMS-9300567
SOC228-2024FA-S01,LMS-9654110
ENG287-2024FA-S01,LMS-3087780
CS342-2024FA-S01,LMS-5120441
CHEM404-2024FA-S01,LMS-0972903
CHEM404-2024FA-S02,LMS-4620874
CHEM404-2024FA-S03,LMS-0543578
BUS370-2024FA-S01,LMS-3881452
BUS370-2024FA-S02,LMS-2222397
SOC143-2024FA-S01,LMS-2906883
SOC143-2024FA-S02,LMS-2090825
CS320-2024FA-S01,LMS-4196332
CS498-2024FA-S01,LMS-9406961
CS498-2024FA-S02,LMS-2318112
PHYS250-2024FA-S01,LMS-4465548
PSYC120-2024FA-S01,LMS-5867611
PHIL134-2024FA-S01,LMS-6262021
SOC317-2024FA-S01,LMS-1522443
MATH442-2024FA-S01,LMS-0999354
BUS312-2024FA-S01,LMS-4202532
BUS312-2024FA-S02,LMS-5028906
ECON115-2024FA-S01,LMS-8735838
ECON115-2024FA-S02,LMS-7783708
HIST115-2024FA-S01,LMS-9204123
CHEM442-2024FA-S01,LMS-8425935
CHEM442-2024FA-S02,LMS-8403594
CHEM442-2024FA-S03,LMS-9159688
BIO144-2024FA-S01,LMS-4722046
BIO144-2024FA-S02,LMS-0305650
MATH296-2024FA-S01,LMS-2576312
MATH296-2024FA-S02,LMS-5937402
ART207-2024FA-S01,LMS-1547383
ART207-2024FA-S02,LMS-8530106
ART207-2024FA-S03,LMS-4162905
BIO113-2024FA-S01,LMS-4676243
BIO113-2024FA-S02,LMS-1898731
ECON152-2024FA-S01,LMS-9693315
HIST254-2024FA-S01,LMS-7091655
PHIL241-2024FA-S01,LMS-7354746
PHIL241-2024FA-S02,LMS-1456849
PHIL241-2024FA-S03,LMS-1381978
PSYC251-2024FA-S01,LMS-6063109
PSYC251-2024FA-S02,LMS-1969681
PSYC466-2024FA-S01,LMS-3386329
ENG175-2024FA-S01,LMS-8096043
PHYS243-2024FA-S01,LMS-3467360
PHYS243-2024FA-S02,LMS-8708894
PHYS243-2024FA-S03,LMS-1428898
BUS199-2024FA-S01,LMS-2807520
BUS199-2024FA-S02,LMS-4119666
BUS199-2024FA-S03,LMS-4304670
PSYC212-2024FA-S01,LMS-5047092
BUS119-2024FA-S01,LMS-9892714
STAT268-2024FA-S01,LMS-1288365
STAT268-2024FA-S02,LMS-2520020
ART316-2024FA-S01,LMS-9250550
ART316-2024FA-S02,LMS-5492173
ART316-2024FA-S03,LMS-9907979
PHYS137-2024FA-S01,LMS-4411319
ECON406-2024FA-S01,LMS-4773030
ECON406-2024FA-S02,LMS-4342260
MATH126-2024FA-S01,LMS-1991334
MATH126-2024FA-S02,LMS-1109553
MATH126-2024FA-S03,LMS-7559872
PHYS326-2024FA-S01,LMS-2625862
PHIL375-2024FA-S01,LMS-0552775
PHYS301-2024FA-S01,LMS-8060517
CHEM300-2024FA-S01,LMS-8116989
PHYS261-2024FA-S01,LMS-2525720
PHYS261-2024FA-S02,LMS-1778707
BUS333-2024FA-S01,LMS-8893184
BUS106-2024FA-S01,LMS-4537895
ECON255-2024FA-S01,LMS-9473897
ECON255-2024FA-S02,LMS-1332320
ECON255-2024FA-S03,LMS-6500875
CS365-2024FA-S01,LMS-2253115
CS365-2024FA-S02,LMS-0676906
STAT192-2024FA-S01,LMS-2362305
STAT192-2024FA-S02,LMS-2835910
STAT192-2024FA-S03,LMS-7041497
CHEM190-2024FA-S01,LMS-9625025
CHEM190-2024FA-S02,LMS-2733606
CHEM190-2024FA-S03,LMS-4494598
ART323-2024FA-S01,LMS-9001408
ART323-2024FA-S02,LMS-4190229
ART323-2024FA-S03,LMS-0966967
ART123-2024FA-S01,LMS-8195507
MATH387-2024FA-S01,LMS-8907778
MATH387-2024FA-S02,LMS-7803253
PHIL378-2024FA-S01,LMS-7117084
PHIL378-2024FA-S02,LMS-0061053
HIST407-2024FA-S01,LMS-0931608
SOC436-2024FA-S01,LMS-5049562
ART332-2024FA-S01,LMS-3549909
BIO493-2024FA-S01,LMS-2025678
CS438-2024FA-S01,LMS-4792471
CS438-2024FA-S02,LMS-1160253
PHYS392-2024FA-S01,LMS-5561769
STAT480-2024FA-S01,LMS-3545107
STAT480-2024FA-S02,LMS-9755830
STAT480-2024FA-S03,LMS-2485610
HIST344-2024FA-S01,LMS-5437684
MATH267-2024FA-S01,LMS-0019615
BUS252-2024FA-S01,LMS-9936723
BUS252-2024FA-S02,LMS-5767727
ART192-2024FA-S01,LMS-4615067
ART192-2024FA-S02,LMS-4979327
BIO222-2024FA-S01,LMS-8034460
ENG153-2024FA-S01,LMS-0637099
ENG153-2024FA-S02,LMS-8078916
ENG153-2024FA-S03,LMS-0639477
STAT413-2024FA-S01,LMS-7355139
CHEM379-2024FA-S01,LMS-3594867
CHEM379-2024FA-S02,LMS-1270785
ENG104-2024FA-S01,LMS-3422854
BUS433-2024FA-S01,LMS-2829169
BUS433-2024FA-S02,LMS-9955883
CHEM131-2024FA-S01,LMS-7263330
CHEM131-2024FA-S02,LMS-1188883
CHEM131-2024FA-S03,LMS-0003959
STAT426-2024FA-S01,LMS-8991006
BIO256-2025SP-S01,LMS-2128418
BIO256-2025SP-S02,LMS-1563026
BIO447-2025SP-S01,LMS-6346455
ENG226-2025SP-S01,LMS-8204039
ENG226-2025SP-S02,LMS-6244854
ENG226-2025SP-S03,LMS-2914243
SOC495-2025SP-S01,LMS-0190333
SOC495-2025SP-S02,LMS-8238204
CS377-2025SP-S01,LMS-0844441
CS377-2025SP-S02,LMS-7544082
CS377-2025SP-S03,LMS-9055109
PSYC240-2025SP-S01,LMS-3725954
PSYC240-2025SP-S02,LMS-2397156
PSYC240-2025SP-S03,LMS-5325754
CHEM286-2025SP-S01,LMS-2953644
HIST329-2025SP-S01,LMS-1874676
ECON312-2025SP-S01,LMS-8576671
ART372-2025SP-S01,LMS-7614759
HIST269-2025SP-S01,LMS-1675953
STAT339-2025SP-S01,LMS-5145044
ECON392-2025SP-S01,LMS-8921494
CS291-2025SP-S01,LMS-1227739
CS291-2025SP-S02,LMS-6346456
BIO160-2025SP-S01,LMS-2716299
BIO160-2025SP-S02,LMS-9775732
PHIL188-2025SP-S01,LMS-0648873
PHIL188-2025SP-S02,LMS-0296504
ENG432-2025SP-S01,LMS-9634298
ENG432-2025SP-S02,LMS-9243868
ENG432-2025SP-S03,LMS-0321968
SOC239-2025SP-S01,LMS-4130633
SOC239-2025SP-S02,LMS-0896431
BUS392-2025SP-S01,LMS-6060559
SOC488-2025SP-S01,LMS-7369087
BIO477-2025SP-S01,LMS-8876482
BIO477-2025SP-S02,LMS-0754076
BIO477-2025SP-S03,LMS-6196080
CS451-2025SP-S01,LMS-7406432
ART152-2025SP-S01,LMS-6656751
PHIL376-2025SP-S01,LMS-2843855
PHIL376-2025SP-S02,LMS-1425521
ART188-2025SP-S01,LMS-8375545
CS241-2025SP-S01,LMS-8904270
ART164-2025SP-S01,LMS-4347265
MATH265-2025SP-S01,LMS-5364584
CS441-2025SP-S01,LMS-8820761
CS441-2025SP-S02,LMS-2338868
CS441-2025SP-S03,LMS-9245716
PSYC474-2025SP-S01,LMS-4111075
ECON297-2025SP-S01,LMS-7896818
ECON398-2025SP-S01,LMS-3899466
ECON398-2025SP-S02,LMS-5742088
MATH422-2025SP-S01,LMS-2506555
MATH422-2025SP-S02,LMS-1492080
MATH422-2025SP-S03,LMS-4878811
BIO192-2025SP-S01,LMS-2212575
PHYS419-2025SP-S01,LMS-9232203
ECON250-2025SP-S01,LMS-2541187
PHIL104-2025SP-S01,LMS-6995131
PHIL104-2025SP-S02,LMS-7621106
PHIL104-2025SP-S03,LMS-7432334
ART348-2025SP-S01,LMS-8173415
STAT297-2025SP-S01,LMS-9820551
STAT297-2025SP-S02,LMS-5152172
CHEM181-2025SP-S01,LMS-0736154
CHEM181-2025SP-S02,LMS-6555849
CHEM181-2025SP-S03,LMS-3713765
PSYC108-2025SP-S01,LMS-0746854
MATH132-2025SP-S01,LMS-6944118
MATH132-2025SP-S02,LMS-3053815
SOC312-2025SP-S01,LMS-0813372
HIST492-2025SP-S01,LMS-9017720
ECON145-2025SP-S01,LMS-8745774
CS228-2025SP-S01,LMS-9584109
MATH197-2025SP-S01,LMS-5567930
BUS301-2025SP-S01,LMS-5670364
CHEM360-2025SP-S01,LMS-8515347
PSYC116-2025SP-S01,LMS-4823829
SOC228-2025SP-S01,LMS-7740083
ENG287-2025SP-S01,LMS-1994806
CS342-2025SP-S01,LMS-3462940
CHEM404-2025SP-S01,LMS-5009561
BUS370-2025SP-S01,LMS-0887534
SOC143-2025SP-S01,LMS-6266389
SOC143-2025SP-S02,LMS-6832104
SOC143-2025SP-S03,LMS-3397849
CS320-2025SP-S01,LMS-6609807
CS498-2025SP-S01,LMS-7426300
PHYS250-2025SP-S01,LMS-9793795
PSYC120-2025SP-S01,LMS-2834439
PSYC120-2025SP-S02,LMS-3297086
PSYC120-2025SP-S03,LMS-3885147
PHIL134-2025SP-S01,LMS-3299605
SOC317-2025SP-S01,LMS-8488068
MATH442-2025SP-S01,LMS-7650269
MATH442-2025SP-S02,LMS-9856532
BUS312-2025SP-S01,LMS-6677753
BUS312-2025SP-S02,LMS-0953051
ECON115-2025SP-S01,LMS-1687046
HIST115-2025SP-S01,LMS-2081504
CHEM442-2025SP-S01,LMS-2220399
BIO144-2025SP-S01,LMS-3546701
MATH296-2025SP-S01,LMS-8408966
ART207-2025SP-S01,LMS-0605224
ART207-2025SP-S02,LMS-6823541
BIO113-2025SP-S01,LMS-5364114
ECON152-2025SP-S01,LMS-9455488
HIST254-2025SP-S01,LMS-1728467
PHIL241-2025SP-S01,LMS-5570869
PHIL241-2025SP-S02,LMS-6260633
PHIL241-2025SP-S03,LMS-3856172
PSYC251-2025SP-S01,LMS-3924289
PSYC251-2025SP-S02,LMS-8626303
PSYC466-2025SP-S01,LMS-9597727
ENG175-2025SP-S01,LMS-4284806
PHYS243-2025SP-S01,LMS-5605416
BUS199-2025SP-S01,LMS-1923329
PSYC212-2025SP-S01,LMS-9469593
BUS119-2025SP-S01,LMS-6125300
STAT268-2025SP-S01,LMS-8690479
ART316-2025SP-S01,LMS-7575097
PHYS137-2025SP-S01,LMS-8094973
PHYS137-2025SP-S02,LMS-7228678
ECON406-2025SP-S01,LMS-3462328
ECON406-2025SP-S02,LMS-1372548
ECON406-2025SP-S03,LMS-0469670
MATH126-2025SP-S01,LMS-5186666
PHYS326-2025SP-S01,LMS-5406079
PHIL375-2025SP-S01,LMS-3157858
PHYS301-2025SP-S01,LMS-3733170
PHYS301-2025SP-S02,LMS-8706568
PHYS301-2025SP-S03,LMS-5135910
CHEM300-2025SP-S01,LMS-2629652
PHYS261-2025SP-S01,LMS-3660742
BUS333-2025SP-S01,LMS-9307059
BUS106-2025SP-S01,LMS-8906436
ECON255-2025SP-S01,LMS-7324671
ECON255-2025SP-S02,LMS-3341283
CS365-2025SP-S01,LMS-1138797
STAT192-2025SP-S01,LMS-4577627
CHEM190-2025SP-S01,LMS-4879217
ART323-2025SP-S01,LMS-9690702
ART323-2025SP-S02,LMS-8406627
ART123-2025SP-S01,LMS-8737097
ART123-2025SP-S02,LMS-2991767
MATH387-2025SP-S01,LMS-4030931
MATH387-2025SP-S02,LMS-9794934
PHIL378-2025SP-S01,LMS-3477059
HIST407-2025SP-S01,LMS-1941796
SOC436-2025SP-S01,LMS-7334635
SOC436-2025SP-S02,LMS-9398301
ART332-2025SP-S01,LMS-4251234
ART332-2025SP-S02,LMS-2910662
BIO493-2025SP-S01,LMS-8793829
BIO493-2025SP-S02,LMS-6011531
BIO493-2025SP-S03,LMS-2546401
CS438-2025SP-S01,LMS-5257830
CS438-2025SP-S02,LMS-5420475
CS438-2025SP-S03,LMS-1484365
PHYS392-2025SP-S01,LMS-1572413
STAT480-2025SP-S01,LMS-9671541
HIST344-2025SP-S01,LMS-2423744
MATH267-2025SP-S01,LMS-4449009
BUS252-2025SP-S01,LMS-0992134
ART192-2025SP-S01,LMS-9912347
ART192-2025SP-S02,LMS-3848193
BIO222-2025SP-S01,LMS-8198738
ENG153-2025SP-S01,LMS-6168407
ENG153-2025SP-S02,LMS-8281124
ENG153-2025SP-S03,LMS-7209467
STAT413-2025SP-S01,LMS-1503432
CHEM379-2025SP-S01,LMS-2097871
ENG104-2025SP-S01,LMS-3942852
BUS433-2025SP-S01,LMS-9273971
CHEM131-2025SP-S01,LMS-9036041
STAT426-2025SP-S01,LMS-0694843
STAT426-2025SP-S02,LMS-2652824
STAT426-2025SP-S03,LMS-2693525
BIO256-2025FA-S01,LMS-5130231
BIO447-2025FA-S01,LMS-4333912
BIO447-2025FA-S02,LMS-9636152
ENG226-2025FA-S01,LMS-5152720
SOC495-2025FA-S01,LMS-2068775
SOC495-2025FA-S02,LMS-8214393
CS377-2025FA-S01,LMS-2627034
PSYC240-2025FA-S01,LMS-9103787
PSYC240-2025FA-S02,LMS-1188948
PSYC240-2025FA-S03,LMS-8286465
CHEM286-2025FA-S01,LMS-6027595
CHEM286-2025FA-S02,LMS-5079304
CHEM286-2025FA-S03,LMS-9490356
HIST329-2025FA-S01,LMS-6351951
ECON312-2025FA-S01,LMS-0697633
ART372-2025FA-S01,LMS-3443965
ART372-2025FA-S02,LMS-3368102
HIST269-2025FA-S01,LMS-1293655
STAT339-2025FA-S01,LMS-9857915
ECON392-2025FA-S01,LMS-7401870
CS291-2025FA-S01,LMS-3072660
BIO160-2025FA-S01,LMS-9246793
PHIL188-2025FA-S01,LMS-1614817
ENG432-2025FA-S01,LMS-3824885
ENG432-2025FA-S02,LMS-2128960
SOC239-2025FA-S01,LMS-3773641
SOC239-2025FA-S02,LMS-8811038
SOC239-2025FA-S03,LMS-6716402
BUS392-2025FA-S01,LMS-6434628
SOC488-2025FA-S01,LMS-2925907
BIO477-2025FA-S01,LMS-9631357
CS451-2025FA-S01,LMS-4195743
CS451-2025FA-S02,LMS-8877247
ART152-2025FA-S01,LMS-3945802
PHIL376-2025FA-S01,LMS-0728473
PHIL376-2025FA-S02,LMS-5376967
ART188-2025FA-S01,LMS-7726766
CS241-2025FA-S01,LMS-2400700
ART164-2025FA-S01,LMS-2384482
ART164-2025FA-S02,LMS-5072009
MATH265-2025FA-S01,LMS-8858929
CS441-2025FA-S01,LMS-9442821
PSYC474-2025FA-S01,LMS-3292189
ECON297-2025FA-S01,LMS-1598314
ECON398-2025FA-S01,LMS-2574093
MATH422-2025FA-S01,LMS-4960562
MATH422-2025FA-S02,LMS-2663449
MATH422-2025FA-S03,LMS-5276996
BIO192-2025FA-S01,LMS-0029971
PHYS419-2025FA-S01,LMS-2848827
ECON250-2025FA-S01,LMS-8704570
PHIL104-2025FA-S01,LMS-5643043
ART348-2025FA-S01,LMS-0717231
STAT297-2025FA-S01,LMS-6079496
CHEM181-2025FA-S01,LMS-5432171
CHEM181-2025FA-S02,LMS-0161649
PSYC108-2025FA-S01,LMS-9729316
MATH132-2025FA-S01,LMS-5196252
SOC312-2025FA-S01,LMS-3338218
SOC312-2025FA-S02,LMS-5535258
SOC312-2025FA-S03,LMS-5315193
HIST492-2025FA-S01,LMS-9881631
ECON145-2025FA-S01,LMS-8196385
ECON145-2025FA-S02,LMS-4166980
CS228-2025FA-S01,LMS-1429859
MATH197-2025FA-S01,LMS-8616566
BUS301-2025FA-S01,LMS-1274937
BUS301-2025FA-S02,LMS-9237072
BUS301-2025FA-S03,LMS-6063357
CHEM360-2025FA-S01,LMS-7467548
PSYC116-2025FA-S01,LMS-9169628
PSYC116-2025FA-S02,LMS-2829932
PSYC116-2025FA-S03,LMS-9036214
SOC228-2025FA-S01,LMS-6788007
ENG287-2025FA-S01,LMS-3525180
CS342-2025FA-S01,LMS-8328037
CHEM404-2025FA-S01,LMS-6198036
BUS370-2025FA-S01,LMS-8073370
SOC143-2025FA-S01,LMS-9074920
SOC143-2025FA-S02,LMS-1015031
SOC143-2025FA-S03,LMS-3418862
CS320-2025FA-S01,LMS-1192835
CS498-2025FA-S01,LMS-7105800
CS498-2025FA-S02,LMS-6862674
PHYS250-2025FA-S01,LMS-5117345
PSYC120-2025FA-S01,LMS-9117278
PSYC120-2025FA-S02,LMS-4051353
PSYC120-2025FA-S03,LMS-2169874
PHIL134-2025FA-S01,LMS-0509615
SOC317-2025FA-S01,LMS-0840089
MATH442-2025FA-S01,LMS-0721217
MATH442-2025FA-S02,LMS-4008046
MATH442-2025FA-S03,LMS-6214228
BUS312-2025FA-S01,LMS-3853738
ECON115-2025FA-S01,LMS-2556163
HIST115-2025FA-S01,LMS-0142419
CHEM442-2025FA-S01,LMS-2225868
CHEM442-2025FA-S02,LMS-8977521
CHEM442-2025FA-S03,LMS-3817199
BIO144-2025FA-S01,LMS-9400774
MATH296-2025FA-S01,LMS-5692068
ART207-2025FA-S01,LMS-4261761
BIO113-2025FA-S01,LMS-3456498
BIO113-2025FA-S02,LMS-1621630
ECON152-2025FA-S01,LMS-3337802
HIST254-2025FA-S01,LMS-1151567
PHIL241-2025FA-S01,LMS-7053053
PSYC251-2025FA-S01,LMS-8042041
PSYC466-2025FA-S01,LMS-1971756
ENG175-2025FA-S01,LMS-4016220
PHYS243-2025FA-S01,LMS-2440277
BUS199-2025FA-S01,LMS-9177620
PSYC212-2025FA-S01,LMS-9781555
PSYC212-2025FA-S02,LMS-9620070
BUS119-2025FA-S01,LMS-8279634
BUS119-2025FA-S02,LMS-3443468
BUS119-2025FA-S03,LMS-0806359
STAT268-2025FA-S01,LMS-1249428
ART316-2025FA-S01,LMS-1794853
PHYS137-2025FA-S01,LMS-6732890
PHYS137-2025FA-S02,LMS-8665397
PHYS137-2025FA-S03,LMS-1088387
ECON406-2025FA-S01,LMS-7568255
ECON406-2025FA-S02,LMS-5222496
ECON406-2025FA-S03,LMS-6292074
MATH126-2025FA-S01,LMS-9865756
PHYS326-2025FA-S01,LMS-1325907
PHIL375-2025FA-S01,LMS-2172150
PHYS301-2025FA-S01,LMS-4621921
PHYS301-2025FA-S02,LMS-0073464
CHEM300-2025FA-S01,LMS-7634848
PHYS261-2025FA-S01,LMS-0995822
BUS333-2025FA-S01,LMS-3761281
BUS106-2025FA-S01,LMS-8568975
BUS106-2025FA-S02,LMS-0983681
ECON255-2025FA-S01,LMS-1574254
CS365-2025FA-S01,LMS-5848989
CS365-2025FA-S02,LMS-2467582
STAT192-2025FA-S01,LMS-5813036
CHEM190-2025FA-S01,LMS-9056895
ART323-2025FA-S01,LMS-1239220
ART123-2025FA-S01,LMS-5011208
MATH387-2025FA-S01,LMS-9675592
PHIL378-2025FA-S01,LMS-4918071
HIST407-2025FA-S01,LMS-0077088
SOC436-2025FA-S01,LMS-7604646
SOC436-2025FA-S02,LMS-1288617
ART332-2025FA-S01,LMS-0697820
ART332-2025FA-S02,LMS-1051104
BIO493-2025FA-S01,LMS-8465144
CS438-2025FA-S01,LMS-0992076
PHYS392-2025FA-S01,LMS-3477860
STAT480-2025FA-S01,LMS-0460696
STAT480-2025FA-S02,LMS-5343620
HIST344-2025FA-S01,LMS-8089789
MATH267-2025FA-S01,LMS-9284393
BUS252-2025FA-S01,LMS-6735571
ART192-2025FA-S01,LMS-1231709
ART192-2025FA-S02,LMS-8467189
ART192-2025FA-S03,LMS-6008596
BIO222-2025FA-S01,LMS-5393100
BIO222-2025FA-S02,LMS-5512606
ENG153-2025FA-S01,LMS-1459074
ENG153-2025FA-S02,LMS-4030738
STAT413-2025FA-S01,LMS-5800940
STAT413-2025FA-S02,LMS-5472440
CHEM379-2025FA-S01,LMS-1975111
CHEM379-2025FA-S02,LMS-2640712
CHEM379-2025FA-S03,LMS-0646692
ENG104-2025FA-S01,LMS-7708173
ENG104-2025FA-S02,LMS-3948068
ENG104-2025FA-S03,LMS-4314930
BUS433-2025FA-S01,LMS-9770624
CHEM131-2025FA-S01,LMS-4297194
STAT426-2025FA-S01,LMS-3420972
STAT426-2025FA-S02,LMS-3644240
